wavelength continuum H1_lines metal_lines_Z1 metal_lines_Z2 metal_lines_Z3
3890.0 2.42397e-27 0.0 2.44721e-26 2.31461e-26 1.28991e-26
3910.0 2.42833e-27 0.0 0.0 0.0 0.0
3930.0 2.43291e-27 0.0 0.0 0.0 0.0
3950.0 2.43771e-27 0.0 0.0 0.0 0.0
3970.0 2.44273e-27 0.0 3.39017e-26 3.5534e-26 1.99643e-26
3990.0 2.44797e-27 0.0 0.0 0.0 0.0
4010.0 2.45402e-27 0.0 0.0 0.0 0.0
4030.0 2.46099e-27 0.0 1.94079e-27 1.94079e-27 1.94079e-27
4050.0 2.46822e-27 0.0 0.0 0.0 0.0
4070.0 2.47574e-27 0.0 9.23768e-28 3.16721e-27 5.2787e-27
4090.0 2.48352e-27 0.0 0.0 0.0 0.0
4110.0 2.49159e-27 3.48546e-26 0.0 0.0 0.0
4130.0 2.49992e-27 0.0 0.0 0.0 0.0
4150.0 2.50852e-27 0.0 0.0 0.0 0.0
4170.0 2.5174e-27 0.0 0.0 0.0 0.0
4190.0 2.52655e-27 0.0 0.0 0.0 0.0
4210.0 2.53596e-27 0.0 0.0 0.0 0.0
4230.0 2.54565e-27 0.0 0.0 0.0 0.0
4250.0 2.5556e-27 0.0 0.0 0.0 0.0
4270.0 2.56582e-27 0.0 0.0 0.0 0.0
4290.0 2.57631e-27 0.0 0.0 0.0 0.0
4310.0 2.58706e-27 0.0 0.0 0.0 0.0
4330.0 2.59808e-27 0.0 0.0 0.0 0.0
4350.0 2.60936e-27 7.05509e-26 0.0 0.0 0.0
4370.0 2.62091e-27 0.0 1.65831e-26 1.00412e-26 1.52139e-27
4390.0 2.63272e-27 0.0 0.0 0.0 0.0
4410.0 2.6448e-27 0.0 0.0 0.0 0.0
4430.0 2.65714e-27 0.0 0.0 0.0 0.0
4450.0 2.66974e-27 0.0 0.0 0.0 0.0
4470.0 2.68261e-27 0.0 5.7305e-27 5.7305e-27 7.95908e-27
4490.0 2.69574e-27 0.0 0.0 0.0 0.0
4510.0 2.70703e-27 0.0 0.0 0.0 0.0
4530.0 2.71637e-27 0.0 0.0 0.0 0.0
4550.0 2.72587e-27 0.0 0.0 0.0 0.0
4570.0 2.73551e-27 0.0 0.0 0.0 0.0
4590.0 2.7453e-27 0.0 0.0 0.0 0.0
4610.0 2.75523e-27 0.0 0.0 0.0 0.0
4630.0 2.7653e-27 0.0 0.0 0.0 0.0
4650.0 2.77551e-27 0.0 0.0 0.0 0.0
4670.0 2.78586e-27 0.0 0.0 0.0 0.0
4690.0 2.79634e-27 0.0 0.0 0.0 0.0
4710.0 2.80696e-27 0.0 1.76733e-27 2.47427e-27 0.0
4730.0 2.81771e-27 0.0 0.0 0.0 0.0
4750.0 2.82859e-27 0.0 0.0 0.0 0.0
4770.0 2.8396e-27 0.0 0.0 0.0 0.0
4790.0 2.85074e-27 0.0 0.0 0.0 0.0
4810.0 2.862e-27 0.0 0.0 0.0 0.0
4830.0 2.87339e-27 0.0 0.0 0.0 0.0
4850.0 2.88491e-27 0.0 0.0 0.0 0.0
4870.0 2.89655e-27 0.0 1.88945e-25 1.88945e-25 1.88945e-25
4890.0 2.9083e-27 0.0 0.0 0.0 0.0
4910.0 2.92018e-27 0.0 0.0 0.0 0.0
4930.0 2.93217e-27 0.0 0.0 0.0 0.0
4950.0 2.94428e-27 0.0 2.14138e-25 3.15643e-25 2.7309e-25
4970.0 2.9565e-27 0.0 0.0 0.0 0.0
4990.0 2.96884e-27 0.0 0.0 0.0 0.0
5010.0 2.98129e-27 0.0 6.31687e-25 9.50231e-25 8.16056e-25
5030.0 2.99385e-27 0.0 0.0 0.0 0.0
5050.0 3.00652e-27 0.0 0.0 0.0 0.0
5070.0 3.01929e-27 0.0 0.0 0.0 0.0
5090.0 3.03218e-27 0.0 0.0 0.0 0.0
5110.0 3.04516e-27 0.0 0.0 0.0 0.0
5130.0 3.05825e-27 0.0 0.0 0.0 0.0
5150.0 3.07145e-27 0.0 0.0 0.0 0.0
5170.0 3.08474e-27 0.0 0.0 0.0 0.0
5190.0 3.09813e-27 0.0 6.4377e-28 2.14591e-27 6.4377e-27
5210.0 3.11163e-27 0.0 0.0 0.0 0.0
5230.0 3.12521e-27 0.0 0.0 0.0 0.0
5250.0 3.1389e-27 0.0 0.0 0.0 0.0
5270.0 3.15268e-27 0.0 0.0 0.0 0.0
5290.0 3.16655e-27 0.0 0.0 0.0 0.0
5310.0 3.18051e-27 0.0 0.0 0.0 0.0
5330.0 3.19457e-27 0.0 0.0 0.0 0.0
5350.0 3.20871e-27 0.0 0.0 0.0 0.0
5370.0 3.22294e-27 0.0 0.0 0.0 0.0
5390.0 3.23726e-27 0.0 0.0 0.0 0.0
5410.0 3.25167e-27 0.0 0.0 0.0 0.0
5430.0 3.26616e-27 0.0 0.0 0.0 0.0
5450.0 3.28073e-27 0.0 0.0 0.0 0.0
5470.0 3.29539e-27 0.0 0.0 0.0 0.0
5490.0 3.31013e-27 0.0 0.0 0.0 0.0
5510.0 3.32495e-27 0.0 0.0 0.0 0.0
5530.0 3.33985e-27 0.0 0.0 0.0 0.0
5550.0 3.35482e-27 0.0 0.0 0.0 0.0
5570.0 3.36987e-27 0.0 0.0 0.0 0.0
5590.0 3.385e-27 0.0 0.0 0.0 0.0
5610.0 3.4002e-27 0.0 0.0 0.0 0.0
5630.0 3.41548e-27 0.0 0.0 0.0 0.0
5650.0 3.43083e-27 0.0 0.0 0.0 0.0
5670.0 3.44625e-27 0.0 0.0 0.0 0.0
5690.0 3.46174e-27 0.0 0.0 0.0 0.0
5710.0 3.3787e-27 0.0 0.0 0.0 0.0
5730.0 3.39422e-27 0.0 0.0 0.0 0.0
5750.0 3.40981e-27 0.0 0.0 0.0 2.63398e-27
5770.0 3.42546e-27 0.0 0.0 0.0 0.0
5790.0 3.44118e-27 0.0 0.0 0.0 0.0
